case,year,plot,species,pres.abs
4,1937,G,CLVI,0
5,1937,H,CLVI,0
6,1937,I,CLVI,0
7,1937,J,CLVI,0
8,1937,K,CLVI,0
9,1937,L,CLVI,0
10,1937,M,CLVI,0
11,1937,N,CLVI,0
12,1940,B,CLVI,0
13,1940,C,CLVI,0
14,1940,D,CLVI,0
15,1940,E,CLVI,0
16,1940,F,CLVI,0
17,1940,G,CLVI,0
18,1940,H,CLVI,0
19,1940,I,CLVI,0
20,1940,J,CLVI,0
21,1940,K,CLVI,0
22,1940,L,CLVI,0
23,1940,M,CLVI,0
24,1940,N,CLVI,0
25,1948,B,CLVI,0
26,1948,C,CLVI,0
27,1948,D,CLVI,0
28,1948,E,CLVI,0
29,1948,F,CLVI,0
30,1948,G,CLVI,0
31,1948,H,CLVI,0
32,1948,I,CLVI,1
33,1948,J,CLVI,0
34,1948,K,CLVI,0
35,1948,L,CLVI,0
36,1948,M,CLVI,0
37,1948,N,CLVI,0
38,1991,B,CLVI,0
39,1991,C,CLVI,0
40,1991,D,CLVI,0
41,1991,E,CLVI,0
42,1991,F,CLVI,0
43,1991,G,CLVI,0
44,1991,H,CLVI,0
45,1991,I,CLVI,0
46,1991,J,CLVI,0
47,1991,K,CLVI,0
48,1991,L,CLVI,0
49,1991,M,CLVI,0
50,1991,N,CLVI,0
1,1937,C,CLBO,0
2,1937,E,CLBO,0
3,1937,F,CLBO,0
4,1937,G,CLBO,0
5,1937,H,CLBO,1
6,1937,I,CLBO,0
7,1937,J,CLBO,0
8,1937,K,CLBO,0
9,1937,L,CLBO,0
10,1937,M,CLBO,0
11,1937,N,CLBO,0
12,1940,B,CLBO,0
13,1940,C,CLBO,0
14,1940,D,CLBO,0
15,1940,E,CLBO,0
16,1940,F,CLBO,0
17,1940,G,CLBO,0
18,1940,H,CLBO,0
19,1940,I,CLBO,0
20,1940,J,CLBO,0
21,1940,K,CLBO,0
22,1940,L,CLBO,0
23,1940,M,CLBO,0
24,1940,N,CLBO,0
25,1948,B,CLBO,0
26,1948,C,CLBO,0
27,1948,D,CLBO,0
28,1948,E,CLBO,0
29,1948,F,CLBO,0
30,1948,G,CLBO,0
31,1948,H,CLBO,0
32,1948,I,CLBO,0
33,1948,J,CLBO,0
34,1948,K,CLBO,0
35,1948,L,CLBO,0
36,1948,M,CLBO,0
37,1948,N,CLBO,0
38,1991,B,CLBO,0
39,1991,C,CLBO,0
40,1991,D,CLBO,0
41,1991,E,CLBO,0
42,1991,F,CLBO,1
43,1991,G,CLBO,0
44,1991,H,CLBO,0
45,1991,I,CLBO,1
46,1991,J,CLBO,1
47,1991,K,CLBO,0
48,1991,L,CLBO,1
49,1991,M,CLBO,0
50,1991,N,CLBO,0
1,1937,C,COSPP,0
2,1937,E,COSPP,0
3,1937,F,COSPP,0
4,1937,G,COSPP,0
5,1937,H,COSPP,0
6,1937,I,COSPP,0
7,1937,J,COSPP,0
8,1937,K,COSPP,0
9,1937,L,COSPP,0
10,1937,M,COSPP,0
11,1937,N,COSPP,0
12,1940,B,COSPP,0
13,1940,C,COSPP,0
14,1940,D,COSPP,0
15,1940,E,COSPP,0
16,1940,F,COSPP,0
17,1940,G,COSPP,0
18,1940,H,COSPP,0
19,1940,I,COSPP,0
20,1940,J,COSPP,1
21,1940,K,COSPP,0
22,1940,L,COSPP,0
23,1940,M,COSPP,1
24,1940,N,COSPP,1
25,1948,B,COSPP,0
26,1948,C,COSPP,0
27,1948,D,COSPP,0
28,1948,E,COSPP,1
29,1948,F,COSPP,1
30,1948,G,COSPP,0
31,1948,H,COSPP,0
32,1948,I,COSPP,0
33,1948,J,COSPP,1
