plot,sample.id,species,lat,lon,elev,year,cellulose,cellulose.method,lignin,lignin.method,carbon,carbon.method,hydrogen,hydrogen.method,nitrogen,nitrogen.method
HFR6,92HFS6BC4,PRSE2,42.5042,-72.2122,300,1992,38.46,1,17.08,1,50,6,7,6,2.49,1
HFR6,92HFS6BC5,PRSE2,42.5042,-72.2122,300,1992,42.34,1,18.51,1,50,6,7,6,3.19,1
HFR11,92HFS11RO1,QURU,42.5422,-72.1797,384,1992,43.65,1,25.58,1,50,6,6,6,2.46,1
HFR11,92HFS11RO2,QURU,42.5422,-72.1797,384,1992,38.87,1,33.41,1,51,6,6,6,2.82,1
HFR11,92HFS11RO3,QURU,42.5422,-72.1797,384,1992,40.94,1,24.97,1,50,6,7,6,2.09,1
HFR11,92HFS11RO4,QURU,42.5422,-72.1797,384,1992,43.05,1,24.63,1,50,6,6,6,2.28,1
HFR11,92HFS11RO5,QURU,42.5422,-72.1797,384,1992,42.41,1,23.7,1,50,6,7,6,2.24,1
HFR14,92HFS14RO1,QURU,42.5411,-72.1839,388,1992,37.6,1,26.09,1,50,6,6,6,2.16,1
HFR14,92HFS14RO2,QURU,42.5411,-72.1839,388,1992,38.12,1,24.65,1,50,6,6,6,1.96,1
HFR14,92HFS14RO3,QURU,42.5411,-72.1839,388,1992,39.52,1,22.49,1,50,6,7,6,2.12,1
HFR14,92HFS14RO4,QURU,42.5411,-72.1839,388,1992,34.07,1,26.4,1,51,6,6,6,2.01,1
HFR14,92HFS14RO5,QURU,42.5411,-72.1839,388,1992,36.93,1,30.61,1,51,6,7,6,2.26,1
HFR16,92HFS16RO1,QURU,42.5275,-72.1816,348,1992,41.39,1,26.5,1,51,6,7,6,2.65,1
HFR16,92HFS16RO2,QURU,42.5275,-72.1816,348,1992,42.78,1,26.28,1,51,6,7,6,2.35,1
HFR16,92HFS16RO3,QURU,42.5275,-72.1816,348,1992,40.6,1,25.37,1,51,6,7,6,2.28,1
HFR16,92HFS16RO4,QURU,42.5275,-72.1816,348,1992,41.29,1,25.64,1,51,6,7,6,2.31,1
HFR16,92HFS16RO5,QURU,42.5275,-72.1816,348,1992,44.24,1,23.69,1,51,6,7,6,2.43,1
HFR18,92HFS18RO1,QURU,42.5368,-72.1758,365,1992,43.85,1,21.45,1,50,6,7,6,2.7,1
HFR18,92HFS18RO2,QURU,42.5368,-72.1758,365,1992,45.82,1,24.98,1,50,6,7,6,2.46,1
HFR18,92HFS18RO3,QURU,42.5368,-72.1758,365,1992,41.2,1,23.72,1,51,6,7,6,2.5,1
HFR18,92HFS18RO4,QURU,42.5368,-72.1758,365,1992,41.83,1,23.94,1,50,6,7,6,2.42,1
HFR18,92HFS18RO5,QURU,42.5368,-72.1758,365,1992,47.28,1,23.82,1,50,6,7,6,2.59,1
HFR19,92HFS19RO1,QURU,42.5352,-72.1761,369,1992,38.19,1,27.77,1,50,6,7,6,2.07,1
HFR19,92HFS19RO2,QURU,42.5352,-72.1761,369,1992,39.39,1,26.73,1,51,6,6,6,1.96,1
HFR19,92HFS19RO3,QURU,42.5352,-72.1761,369,1992,36.52,1,26.47,1,51,6,7,6,2.09,1
HFR19,92HFS19RO5,QURU,42.5352,-72.1761,369,1992,34.67,1,30.68,1,52,6,7,6,1.93,1
HFR1,92HFS1RO1,QURU,42.5412,-72.185,382,1992,41.37,1,24.79,1,50,6,6,6,2.12,1
HFR1,92HFS1RO2,QURU,42.5412,-72.185,382,1992,39.3,1,24.96,1,51,6,7,6,1.94,1
HFR1,92HFS1RO3,QURU,42.5412,-72.185,382,1992,43.67,1,27.47,1,50,6,7,6,2.09,1
HFR1,92HFS1RO4,QURU,42.5412,-72.185,382,1992,41.06,1,25.85,1,51,6,7,6,2.13,1
HFR1,92HFS1RO5,QURU,42.5412,-72.185,382,1992,40.62,1,28.83,1,51,6,7,6,2.14,1
HFR3,92HFS3RO1,QURU,42.5407,-72.1805,363,1992,39.95,1,27.08,1,51,6,7,6,2.37,1
HFR3,92HFS3RO2,QURU,42.5407,-72.1805,363,1992,39.79,1,28.3,1,51,6,7,6,2.42,1
HFR3,92HFS3RO3,QURU,42.5407,-72.1805,363,1992,41.92,1,27.12,1,50,6,7,6,2.29,1
HFR3,92HFS3RO4,QURU,42.5407,-72.1805,363,1992,44.08,1,27.44,1,51,6,7,6,2.48,1
HFR3,92HFS3RO5,QURU,42.5407,-72.1805,363,1992,39.53,1,27.66,1,51,6,7,6,2.23,1
HFR10,92HFS10HE1,TSCA,42.4494,-72.1735,300,1992,28.33,1,14.01,1,50,6,7,6,1.3,1
HFR10,92HFS10HE2,TSCA,42.4494,-72.1735,300,1992,31.45,1,15.04,1,50,6,7,6,1.26,1
HFR10,92HFS10HE3,TSCA,42.4494,-72.1735,300,1992,27.59,1,15.07,1,50,6,7,6,1.26,1
HFR10,92HFS10HE4,TSCA,42.4494,-72.1735,300,1992,27.74,1,15.25,1,51,6,7,6,1.06,1
HFR10,92HFS10HE5,TSCA,42.4494,-72.1735,300,1992,27.55,1,13.75,1,50,6,7,6,1.12,1
HFR9,92HFS9HE1,TSCA,42.5455,-72.1789,375,1992,23.69,1,14.63,1,51,6,7,6,1.14,1
HFR9,92HFS9HE2,TSCA,42.5455,-72.1789,375,1992,25.76,1,15.95,1,52,6,7,6,1.16,1
HFR9,92HFS9HE3,TSCA,42.5455,-72.1789,375,1992,24.78,1,14.77,1,51,6,7,6,1.07,1
HFR9,92HFS9HE4,TSCA,42.5455,-72.1789,375,1992,24.74,1,14.95,1,51,6,7,6,1.01,1
HFR9,92HFS9HE5,TSCA,42.5455,-72.1789,375,1992,27.16,1,14.8,1,51,6,7,6,1.23,1
