year,doy,site,plot,spp,wt-g
1998,280,ems,A3,str.maple,0
1998,280,ems,A3,beech,0
1998,280,ems,A3,birch,0.66
1998,280,ems,A3,hemlock,0
1998,280,ems,A3,spruce,0
1998,280,ems,A3,r.pine,0
1998,280,ems,A3,w.pine,0
1998,280,ems,A3,cherry,0
1998,280,ems,A3,w.hazel,0
1998,280,ems,A3,chestnut,0
1998,280,ems,A3,ash,0
1998,280,ems,A3,unknown,0
1998,280,ems,A4,oak,3.83
1998,280,ems,A4,w.oak,0
1998,280,ems,A4,r.maple,3.72
1998,280,ems,A4,str.maple,0
1998,280,ems,A4,beech,2.42
1998,280,ems,A4,birch,3.57
1998,280,ems,A4,hemlock,0
1998,280,ems,A4,spruce,0
1998,280,ems,A4,r.pine,0
1998,280,ems,A4,w.pine,0.044
1998,280,ems,A4,cherry,0
1998,280,ems,A4,w.hazel,0
1998,280,ems,A4,chestnut,0
1998,280,ems,A4,ash,0
1998,280,ems,A4,unknown,0
1998,280,ems,A5,oak,4.77
1998,280,ems,A5,w.oak,0
1998,280,ems,A5,r.maple,5.4
1998,280,ems,A5,str.maple,0
1998,280,ems,A5,beech,0.3
1998,280,ems,A5,birch,0.17
1998,280,ems,A5,hemlock,0
1998,280,ems,A5,spruce,0
1998,280,ems,A5,r.pine,0
1998,280,ems,A5,w.pine,1.19
1998,280,ems,A5,cherry,0
1998,280,ems,A5,w.hazel,0
1998,280,ems,A5,chestnut,0
1998,280,ems,A5,ash,0
1998,280,ems,A5,unknown,0
1998,280,ems,B1,oak,2.91
1998,280,ems,B1,w.oak,0
1998,280,ems,B1,r.maple,17.48
1998,280,ems,B1,str.maple,0
1998,280,ems,B1,beech,0.049
1998,280,ems,B1,birch,1.21
1998,280,ems,B1,hemlock,0
1998,280,ems,B1,spruce,0
1998,280,ems,B1,r.pine,0
1998,280,ems,B1,w pine,0
1998,280,ems,B1,cherry,0
1998,280,ems,B1,witch hazel,0
1998,280,ems,B1,chestnut,0
1998,280,ems,B1,ash,0
1998,280,ems,B1,unknown,0
1998,280,ems,B2,oak,8.64
1998,280,ems,B2,w.oak,0
1998,280,ems,B2,r.maple,5.07
1998,280,ems,B2,str.maple,0
1998,280,ems,B2,beech,0
1998,280,ems,B2,birch,2.35
1998,280,ems,B2,hemlock,0
1998,280,ems,B2,spruce,0
1998,280,ems,B2,r.pine,0
1998,280,ems,B2,w.pine,0.73
1998,280,ems,B2,cherry,0
1998,280,ems,B2,w.hazel,0
1998,280,ems,B2,chestnut,0
1998,280,ems,B2,ash,0
1998,280,ems,B2,unknown,0.18
1998,280,ems,B3,oak,3.32
1998,280,ems,B3,w.oak,0
1998,280,ems,B3,r.maple,8.24
1998,280,ems,B3,str.maple,0
1998,280,ems,B3,beech,0
1998,280,ems,B3,birch,1.57
1998,280,ems,B3,hemlock,0
1998,280,ems,B3,spruce,0
1998,280,ems,B3,r.pine,0
1998,280,ems,B3,w.pine,0
1998,280,ems,B3,cherry,0
1998,280,ems,B3,w.hazel,0
1998,280,ems,B3,chestnut,0
1998,280,ems,B3,ash,0.35
1998,280,ems,B3,unknown,0.21
1998,280,ems,B4,oak,6.22
1998,280,ems,B4,w.oak,0
1998,280,ems,B4,r.maple,22.52
1998,280,ems,B4,str.maple,0
1998,280,ems,B4,beech,0
1998,280,ems,B4,birch,2.2
1998,280,ems,B4,hemlock,0
1998,280,ems,B4,spruce,0
1998,280,ems,B4,r.pine,0
1998,280,ems,B4,w.pine,0
1998,280,ems,B4,cherry,0
1998,280,ems,B4,w.hazel,0
1998,280,ems,B4,chestnut,0
1998,280,ems,B4,ash,0
1998,280,ems,B4,unknown,0.061
1998,280,ems,B5,oak,5.33
