Year, Month, EcoregionIndex, SpeciesName, CohortAge, CohortWoodB, CohortLeafB, MortalityAGEwood, MortalityAGEleaf, MortalityBIOwood, MortalityBIOleaf, availableWater,LAI,tlai,rlai,mineralNalloc, resorbedNalloc, limitLAI, limitH20, limitT, limitN, maxNPP, Bmax, Bsite, Bcohort, soilTemp, actualWoodNPP, actualLeafNPP, NPPwood, NPPleaf, resorbedNused, mineralNused, Ndemand,deltaWood, deltaLeaf, totalMortalityWood, totalMortalityLeaf, 
1,2,1,pinustro,51,12882.4,200.1,0.00,0.00,2.58,5.56,3.02,5.84,5.84,1.00,0.34,0.04,0.94,0.01,0.00,1.00,350,26504,100494,13082.5,-3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-2.58,-5.56,2.58,5.56,
1,2,1,fagugran,21,1301.6,0.0,0.00,0.00,0.78,0.00,3.02,0.00,0.40,0.00,0.34,0.03,0.00,0.01,0.00,1.00,382,32682,100486,1301.6,-3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.78,0.00,0.78,0.00,
1,2,1,betulent,21,654.8,0.0,0.00,0.00,0.39,0.00,3.02,0.00,0.09,0.00,0.32,0.01,0.00,0.01,0.24,1.00,220,19116,100485,654.8,-3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.39,0.00,
1,2,1,betulent,11,296.8,0.0,0.00,0.00,0.18,0.00,3.02,0.00,0.04,0.00,0.23,0.01,0.00,0.01,0.24,1.00,220,19116,100485,296.8,-3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,0.00,0.18,0.00,
1,2,1,fagugran,11,364.4,0.0,0.00,0.00,0.22,0.00,3.02,0.00,0.12,0.00,0.25,0.01,0.00,0.01,0.00,1.00,382,32682,100485,364.4,-3.9,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.22,0.00,0.22,0.00,
1,3,1,tsugcana,231,8744.9,118.0,48.01,0.65,1.75,3.28,5.70,3.16,3.16,1.00,0.36,0.02,0.77,0.01,0.23,1.00,350,42682,100485,8862.9,-1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-49.75,-3.93,49.75,3.93,
1,3,1,tsugcana,101,50053.1,315.8,14.08,0.09,10.01,8.77,5.70,5.77,5.77,1.00,0.36,0.04,0.93,0.01,0.23,1.00,350,42682,100432,50368.9,-1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-24.09,-8.86,24.09,8.86,
1,3,1,pinustro,101,25381.9,185.6,0.03,0.00,5.08,5.16,5.70,6.36,6.36,1.00,0.36,0.05,0.95,0.01,0.00,1.00,350,26504,100399,25567.5,-1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-5.10,-5.16,5.10,5.16,
1,3,1,pinustro,51,12879.8,194.5,0.00,0.00,2.58,5.40,5.70,5.84,5.84,1.00,0.36,0.05,0.94,0.01,0.00,1.00,350,26504,100389,13074.3,-1.2,0.01,0.00,0.00,0.00,0.00,0.00,0.00,-2.57,-5.40,2.58,5.40,
1,3,1,fagugran,21,1300.8,0.0,0.00,0.00,0.78,0.00,5.70,0.00,0.40,0.00,0.35,0.03,0.00,0.01,0.00,1.00,382,32682,100381,1300.8,-1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.78,0.00,0.78,0.00,
1,3,1,betulent,21,654.4,0.0,0.00,0.00,0.39,0.00,5.70,0.00,0.09,0.00,0.33,0.01,0.00,0.01,0.32,1.00,220,19116,100381,654.4,-1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.39,0.00,0.39,0.00,
1,3,1,betulent,11,296.6,0.0,0.00,0.00,0.18,0.00,5.70,0.00,0.04,0.00,0.24,0.01,0.00,0.01,0.32,1.00,220,19116,100381,296.6,-1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.18,0.00,0.18,0.00,
1,3,1,fagugran,11,364.2,0.0,0.00,0.00,0.22,0.00,5.70,0.00,0.12,0.00,0.26,0.01,0.00,0.01,0.00,1.00,382,32682,100381,364.2,-1.2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,-0.22,0.00,0.22,0.00,
1,4,1,tsugcana,231,8695.1,114.1,47.73,0.63,1.74,3.17,14.42,3.15,3.15,1.00,0.37,0.02,0.77,1.00,0.45,0.80,350,42682,100380,8809.2,5.1,39.49,9.87,18.56,4.64,0.03,0.17,0.20,-10.38,5.98,49.87,3.89,
1,4,1,tsugcana,101,50029.0,307.0,14.07,0.09,10.01,8.53,14.42,5.77,5.77,1.00,0.37,0.05,0.93,1.00,0.45,0.71,350,42682,100375,50336.0,5.1,72.86,18.21,34.24,8.56,0.07,0.30,0.37,48.06,9.42,24.80,8.79,
1,4,1,pinustro,101,25376.8,180.5,0.03,0.00,5.08,5.01,14.42,6.36,6.36,1.00,0.37,0.07,0.95,1.00,0.02,1.00,350,26504,100433,25557.3,5.1,6.48,1.62,3.04,0.76,0.04,0.00,0.04,1.31,-3.41,5.17,5.03,
1,4,1,pinustro,51,12877.2,189.1,0.00,0.00,2.58,5.25,14.42,5.84,5.84,1.00,0.37,0.07,0.94,1.00,0.02,1.00,350,26504,100431,13066.4,5.1,6.40,1.60,3.01,0.75,0.04,0.00,0.04,3.76,-3.67,2.64,5.27,
1,4,1,fagugran,21,1300.0,0.0,0.00,0.00,0.78,0.00,14.42,0.10,0.40,0.00,0.37,0.03,0.05,1.00,0.08,1.00,382,32682,100431,1300.0,5.1,0.98,0.42,0.46,0.20,0.01,0.00,0.01,0.19,0.42,0.79,0.00,
1,4,1,betulent,21,654.1,0.0,0.00,0.00,0.39,0.00,14.42,0.10,0.09,0.00,0.34,0.01,0.05,1.00,0.57,1.00,220,19116,100431,654.1,5.1,4.05,1.74,1.90,0.82,0.01,0.03,0.04,3.62,1.74,0.43,0.00,
1,4,1,betulent,11,296.4,0.0,0.00,0.00,0.18,0.00,14.42,0.10,0.04,0.00,0.25,0.01,0.05,1.00,0.57,1.00,220,19116,100436,296.4,5.1,4.05,1.74,1.90,0.82,0.01,0.03,0.04,3.83,1.74,0.22,0.00,
1,4,1,fagugran,11,363.9,0.0,0.00,0.00,0.22,0.00,14.42,0.10,0.12,0.00,0.27,0.01,0.05,1.00,0.08,1.00,382,32682,100441,363.9,5.1,0.98,0.42,0.46,0.20,0.01,0.00,0.01,0.75,0.42,0.23,0.00,
1,5,1,tsugcana,231,8684.7,120.1,47.68,0.66,1.74,3.33,16.14,3.15,3.15,1.00,0.35,0.00,0.77,1.00,0.79,0.40,350,42682,100443,8804.8,12.6,29.81,7.45,14.01,3.50,0.01,0.14,0.15,-19.90,3.38,49.71,4.07,
1,5,1,tsugcana,101,50077.1,316.4,14.08,0.09,10.02,8.79,16.14,5.77,5.77,1.00,0.35,0.00,0.93,1.00,0.79,0.33,350,42682,100427,50393.5,12.6,57.14,14.28,26.85,6.71,0.01,0.28,0.29,32.47,5.26,24.67,9.02,
1,5,1,pinustro,101,25378.1,177.0,0.03,0.00,5.08,4.92,16.14,6.36,6.36,1.00,0.35,0.04,0.95,1.00,0.13,1.00,350,26504,100465,25555.2,12.6,35.17,8.79,16.53,4.13,0.06,0.15,0.21,29.71,3.79,5.46,5.01,
1,5,1,pinustro,51,12881.0,185.4,0.00,0.00,2.58,5.15,16.14,5.84,5.84,1.00,0.35,0.05,0.94,1.00,0.13,1.00,350,26504,100498,13066.4,12.6,34.68,8.67,16.30,4.07,0.06,0.14,0.20,31.75,3.43,2.93,5.24,
1,5,1,fagugran,21,1300.2,0.4,0.00,0.00,0.78,0.00,16.14,0.10,0.40,0.16,0.34,0.02,0.05,1.00,0.57,1.00,382,32682,100533,1300.6,12.6,6.99,3.00,3.29,1.41,0.02,0.06,0.08,6.14,2.97,0.85,0.03,
1,5,1,betulent,21,657.7,1.7,0.00,0.00,0.39,0.00,16.14,0.10,0.09,0.52,0.32,0.00,0.05,1.00,0.87,1.00,220,19116,100542,659.4,12.6,6.17,2.64,2.90,1.24,0.00,0.07,0.07,5.71,2.62,0.46,0.03,
1,5,1,betulent,11,300.2,1.7,0.00,0.00,0.18,0.00,16.14,0.10,0.04,0.52,0.23,0.00,0.05,1.00,0.87,1.00,220,19116,100550,302.0,12.6,6.17,2.64,2.90,1.24,0.00,0.07,0.07,5.93,2.62,0.24,0.03,
1,5,1,fagugran,11,364.7,0.4,0.00,0.00,0.22,0.00,16.14,0.10,0.12,0.16,0.25,0.00,0.05,1.00,0.57,1.00,382,32682,100559,365.1,12.6,6.99,3.00,3.29,1.41,0.00,0.08,0.08,6.71,2.97,0.29,0.03,
1,6,1,tsugcana,232,8664.8,123.4,48.67,0.69,1.73,3.43,9.10,3.14,3.14,1.00,0.30,0.00,0.77,1.00,0.95,0.29,350,42682,100568,8788.3,17.1,19.52,4.88,9.18,2.29,0.01,0.09,0.10,-31.07,0.71,50.59,4.17,
1,6,1,tsugcana,102,50109.5,321.6,14.42,0.09,10.02,8.93,9.10,5.77,5.77,1.00,0.30,0.00,0.93,1.00,0.95,0.24,350,42682,100537,50431.2,17.1,47.40,11.85,22.28,5.57,0.01,0.23,0.24,22.49,2.71,24.91,9.15,
