,Number,Type,Species,DBH,Height,Crown_Radius,Crown_Depth,Crown_Area,Basal_Area
203,203,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
204,204,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
205,205,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
206,206,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
207,207,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
208,208,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
209,209,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
210,210,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
211,211,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
212,212,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
213,213,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
214,214,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
215,215,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
216,216,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
217,217,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
218,218,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
219,219,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
220,220,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
221,221,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
222,222,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
223,223,Sapling,TSCA,9.6,7.318414606,0.96,8.1216,2.893824,0.007238246
224,224,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
225,225,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
226,226,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
227,227,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
228,228,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
229,229,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
230,230,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
231,231,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
232,232,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
233,233,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
234,234,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
235,235,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
236,236,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
237,237,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
238,238,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
239,239,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
240,240,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
241,241,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
242,242,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
243,243,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
244,244,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
245,245,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
246,246,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
247,247,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
248,248,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
249,249,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
250,250,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
251,251,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
252,252,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
253,253,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
254,254,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
255,255,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
256,256,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
257,257,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
258,258,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
259,259,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
260,260,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
261,261,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
262,262,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
263,263,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
264,264,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
265,265,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
266,266,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
267,267,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
268,268,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
269,269,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
270,270,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
271,271,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
272,272,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
273,273,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
274,274,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
275,275,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
276,276,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
277,277,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
278,278,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
279,279,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
280,280,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
281,281,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
282,282,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
283,283,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
284,284,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
285,285,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
286,286,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
287,287,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
288,288,Sapling,TSCA,9.5,7.263155528,0.95,8.037,2.83385,0.007088235
289,289,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
290,290,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
291,291,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
292,292,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
293,293,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
294,294,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
295,295,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
296,296,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
297,297,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
298,298,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
299,299,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
300,300,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
301,301,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
302,302,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
303,303,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
304,304,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
305,305,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
306,306,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
307,307,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
308,308,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
309,309,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
310,310,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
311,311,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
312,312,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
313,313,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
314,314,Sapling,TSCA,9.4,7.207761823,0.94,7.9524,2.774504,0.006939794
